,Unnamed: 0,DATE_R,ID_P,POINT_R,POS_R,NAME_P,DATE_P,COUNTRY_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID,hand,height,weight
209,209,2016-07-25 00:00:00,5992,15040,1,Novak Djokovic,1987-05-22 00:00:00,SRB,0.0,14040.0,9045.0,10.0,3200.0,3.0,2000.0,1.0,0.0,0.0,94050053.0,10240.0,579.0,2.0,90.0,1750.0,2.0,,R,188.0,77.0
419,419,2016-07-25 00:00:00,677,5290,4,Rafael Nadal,1986-06-03 00:00:00,ESP,0.0,4940.0,1605.0,9.0,2475.0,8.0,295.0,3.0,0.0,0.0,75888125.0,3200.0,361.0,2.0,180.0,750.0,3.0,,L,185.0,85.0
629,629,2016-07-25 00:00:00,19,5945,3,Roger Federer,1981-08-08 00:00:00,SUI,0.0,3730.0,3650.0,7.0,1310.0,5.0,1700.0,2.0,0.0,0.0,97303556.0,2130.0,,,,1040.0,3.0,,R,185.0,85.0
839,839,2016-07-25 00:00:00,1075,10065,2,Andy Murray,1987-05-15 00:00:00,GBR,0.0,9345.0,4150.0,9.0,2060.0,4.0,1220.0,2.0,0.0,0.0,42435316.0,8185.0,259.0,-3.0,275.0,690.0,3.0,,R,190.0,84.0
1049,1049,2016-07-25 00:00:00,673,2695,13,David Ferrer,1982-04-02 00:00:00,ESP,-1.0,2455.0,1435.0,8.0,1760.0,6.0,0.0,1.0,0.0,0.0,28355864.0,1450.0,,,,1110.0,4.0,,R,175.0,73.0
1259,1259,2016-07-25 00:00:00,831,3490,8,Tomas Berdych,1985-09-17 00:00:00,CZE,0.0,3470.0,2390.0,11.0,1320.0,4.0,270.0,2.0,0.0,0.0,23804551.0,2870.0,123.0,-1.0,630.0,730.0,5.0,,R,196.0,91.0
1422,1422,2016-07-25 00:00:00,553,90,448,Mardy Fish,1981-12-09 00:00:00,USA,,,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7460641.0,,,,,0.0,0.0,,R,188.0,82.0
1608,1608,2016-07-25 00:00:00,728,103,409,Janko Tipsarevic,1984-06-22 00:00:00,SRB,51.0,333.0,20.0,2.0,76.0,5.0,10.0,2.0,0.0,0.0,7529804.0,,432.0,2.0,135.0,0.0,0.0,,R,180.0,80.0
1818,1818,2016-07-25 00:00:00,4045,1004,46,Nicolas Almagro,1985-08-21 00:00:00,ESP,0.0,974.0,43.0,4.0,625.0,14.0,10.0,2.0,0.0,0.0,9558871.0,948.0,306.0,1.0,225.0,26.0,3.0,,R,183.0,86.0
2024,2024,2016-07-25 00:00:00,6465,410,141,Juan Martin Del Potro,1988-09-23 00:00:00,ARG,-2.0,770.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15369422.0,770.0,358.0,1.0,180.0,0.0,0.0,,R,198.0,
2234,2234,2016-07-25 00:00:00,4010,1385,31,Gilles Simon,1984-12-27 00:00:00,FRA,-1.0,1360.0,515.0,10.0,360.0,4.0,585.0,3.0,0.0,0.0,10510871.0,1045.0,204.0,-3.0,360.0,760.0,6.0,,R,183.0,70.0
2287,2287,2013-02-18 00:00:00,89,970,40,Andy Roddick,1982-08-30 00:00:00,USA,,,,,,,,,,,20640030.0,,,,,,,,R,188.0,88.0
2497,2497,2016-07-25 00:00:00,7452,1215,38,Alexandr Dolgopolov,1988-11-07 00:00:00,UKR,0.0,815.0,785.0,14.0,145.0,4.0,180.0,4.0,0.0,0.0,5370636.0,760.0,,,,45.0,4.0,,R,180.0,71.0
2707,2707,2016-07-25 00:00:00,5917,2440,14,Gael Monfils,1986-09-01 00:00:00,FRA,0.0,3545.0,200.0,5.0,765.0,5.0,270.0,3.0,0.0,0.0,9328600.0,3355.0,,,,520.0,5.0,,R,193.0,80.0
